year,spring,fall
1970,0426,1025
1971,0425,1031
1972,0430,1029
1973,0429,1028
1974,0106,1027
1975,0223,1026
1976,0425,1031
1977,0424,1030
1978,0430,1029
1979,0429,1028
1980,0427,1026
1981,0426,1025
1982,0425,1031
1983,0424,1030
1984,0429,1028
1985,0428,1027
1986,0427,1026
1987,0405,1025
1988,0403,1030
1989,0402,1029
1990,0401,1028
1991,0407,1027
1992,0405,1025
1993,0404,1031
1994,0403,1030
1995,0402,1029
1996,0407,1027
1997,0406,1026
1998,0405,1025
1999,0404,1031
2000,0402,1029
2001,0401,1028
2002,0407,1027
2003,0406,1026
2004,0404,1031
2005,0403,1030
2006,0402,1029
2007,0311,1104
2008,0309,1102
2009,0308,1101
2010,0314,1107
2011,0313,1106
2012,0311,1104
2013,0310,1103
2014,0309,1102
2015,0308,1101
2016,0313,1106
2017,0312,1105
2018,0311,1104
2019,0310,1103
