BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
198206,2,1640,198206,2,1640,,9985658,COLORADO,8,1982,June,Hail,C,5,ARAPAHOE,,6/2/82 16:40,CST,6/2/82 16:40,0,0,0,0,0,0,,0.75,,,,,0,0,,,,,0,,,0,,,39.73,-104.28,,,,,PUB
198206,2,1640,198206,2,1640,,9985659,COLORADO,8,1982,June,Hail,C,123,WELD,,6/2/82 16:40,CST,6/2/82 16:40,0,0,0,0,0,0,,0.75,,,,,0,0,,,,,0,,,0,,,40.17,-104.37,,,,,PUB
198206,2,1645,198206,2,1645,,9985660,COLORADO,8,1982,June,Tornado,C,1,ADAMS,,6/2/82 16:45,CST,6/2/82 16:45,0,0,0,0,.03K,0,,0,,,,F1,0.5,100,,,,,0,,,0,,,39.78,-104.25,,,,,PUB
198206,2,1655,198206,2,1655,,9985661,COLORADO,8,1982,June,Tornado,C,123,WELD,,6/2/82 16:55,CST,6/2/82 16:55,0,0,0,0,.03K,0,,0,,,,F1,3,100,,,,,0,,,0,,,40.23,-104.37,40.22,-104.3,,,PUB
198206,2,1700,198206,2,1700,,9985662,COLORADO,8,1982,June,Hail,C,31,DENVER,,6/2/82 17:00,CST,6/2/82 17:00,0,0,0,0,0,0,,1,,,,,0,0,,,,,0,,,0,,,39.73,-104.93,,,,,PUB
198206,2,1845,198206,2,1845,,9985663,COLORADO,8,1982,June,Hail,C,13,BOULDER,,6/2/82 18:45,CST,6/2/82 18:45,0,0,0,0,0,0,,2,,,,,0,0,,,,,0,,,0,,,39.98,-105.13,,,,,PUB
198206,1,1943,198206,1,1943,,9985651,COLORADO,8,1982,June,Hail,C,123,WELD,ATA,6/1/82 19:43,CST,6/1/82 19:43,0,0,0,0,0,0,,2,,,,,0,0,,,,,0,,,0,,,40.63,-104.32,,,,,PUB
198206,1,1943,198206,1,1943,,9985652,COLORADO,8,1982,June,Hail,C,73,LINCOLN,,6/1/82 19:43,CST,6/1/82 19:43,0,0,0,0,0,0,,2,,,,,0,0,,,,,0,,,0,,,39.13,-103.62,,,,,PUB
198206,1,1955,198206,1,1955,,9985653,COLORADO,8,1982,June,Hail,C,73,LINCOLN,ATA,6/1/82 19:55,CST,6/1/82 19:55,0,0,0,0,0,0,,1.75,,,,,0,0,,,,,0,,,0,,,39.13,-103.47,,,,,PUB
198206,1,2013,198206,1,2013,,9985654,COLORADO,8,1982,June,Hail,C,69,LARIMER,ATA,6/1/82 20:13,CST,6/1/82 20:13,0,0,0,0,0,0,,1,,,,,0,0,,,,,0,,,0,,,40.58,-105.08,,,,,PUB
